Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00010,2.57,-2.88,-0.03,237,0,4508325.00,18975.00,1.40,1328700.00,7.05,7.35,--,--,7.20,7.20,23700,15.70,NIFTY,961.20,9.17,931.30,952.03,938.95,962.70,5625.00,97.40,2775.00,3975.00,0,0.97,-2.88,2.57,0.00010
0.00020,2.82,-3.08,-0.04,152,0,1531725.00,24525.00,6.50,404475.00,7.90,8.25,--,--,8.00,8.00,23750,15.30,NIFTY,935.30,33.27,881.30,902.03,858.75,963.85,2700.00,--,--,--,0,0.96,-3.08,2.82,0.00020
0.00020,3.15,-3.36,-0.04,164,0,5999400.00,366675.00,25.10,1829550.00,9.00,9.35,--,--,9.15,9.15,23800,14.90,NIFTY,863.00,10.97,831.30,852.03,855.80,862.80,12825.00,-3.40,-450.00,12525.00,0,0.96,-3.36,3.15,0.00020
0.00020,3.54,-3.70,-0.05,206,0,1454175.00,291750.00,107.80,562350.00,10.25,10.60,--,--,10.60,10.60,23850,14.60,NIFTY,837.75,35.72,781.30,802.03,800.00,866.00,2775.00,--,--,--,0,0.95,-3.70,3.54,0.00020
0.00020,3.88,-3.94,-0.06,43,0,4490175.00,198825.00,20.90,1152075.00,11.70,11.95,--,--,11.80,11.80,23900,14.20,NIFTY,764.65,12.62,731.30,752.03,758.95,770.10,26475.00,3.20,825.00,9825.00,0,0.94,-3.94,3.88,0.00020
0.00030,4.32,-4.28,-0.06,221,0,1565700.00,38925.00,12.80,342825.00,13.25,13.50,--,--,13.50,13.50,23950,13.90,NIFTY,719.00,16.97,681.30,702.03,664.85,739.45,1950.00,85.70,900.00,2025.00,0,0.94,-4.28,4.32,0.00030
0.00030,4.86,-4.72,-0.08,12,0,11422650.00,1458825.00,64.40,3722850.00,15.60,15.90,--,--,15.85,15.85,24000,13.60,NIFTY,665.00,12.97,631.30,652.03,665.00,667.00,305625.00,25.70,62475.00,296100.00,0,0.92,-4.72,4.86,0.00030
0.00040,5.40,-5.09,-0.09,40,0,1525050.00,27750.00,8.20,367425.00,17.35,18.15,--,--,18.15,18.15,24050,13.20,NIFTY,616.15,14.12,581.30,602.03,613.05,631.05,9450.00,8.60,750.00,2325.00,0,0.91,-5.09,5.40,0.00040
0.00040,5.94,-5.42,-0.10,23,0,4761825.00,274200.00,27.60,1267950.00,20.50,21.30,--,--,20.50,20.50,24100,12.80,NIFTY,573.00,20.97,531.30,552.03,568.80,572.00,54525.00,15.90,7500.00,32475.00,0,0.90,-5.42,5.94,0.00040
0.00050,6.61,-5.88,-0.11,54,0,2776200.00,168075.00,59.10,452475.00,23.85,24.75,--,--,23.90,23.90,24150,12.40,NIFTY,524.00,21.97,481.30,502.03,520.20,536.80,8400.00,19.10,1350.00,4275.00,0,0.89,-5.88,6.61,0.00050
0.00050,7.43,-6.49,-0.14,10,0,7946475.00,574125.00,35.40,2196825.00,28.60,28.80,--,--,28.80,28.80,24200,12.20,NIFTY,484.60,32.57,431.30,452.03,479.15,483.75,215250.00,62.90,83100.00,245325.00,0,0.86,-6.49,7.43,0.00050
0.00060,8.24,-7.02,-0.16,32,0,4261350.00,156825.00,27.80,721950.00,33.50,34.25,--,--,34.00,34.00,24250,11.90,NIFTY,436.75,34.72,381.30,402.03,423.30,444.75,25575.00,-0.30,-75.00,33000.00,0,0.84,-7.02,8.24,0.00060
0.00070,9.09,-7.56,-0.18,11,0,11018475.00,758550.00,55.20,2133000.00,40.00,40.35,--,--,40.25,40.25,24300,11.60,NIFTY,390.45,38.42,331.30,352.03,390.15,393.65,199800.00,24.80,39750.00,504975.00,0,0.82,-7.56,9.09,0.00070
0.00080,9.93,-8.03,-0.21,22,0,4781850.00,382125.00,97.80,773025.00,47.25,48.60,--,--,47.25,47.25,24350,11.30,NIFTY,348.80,46.77,281.30,302.03,340.95,352.85,35100.00,-15.20,-6300.00,128025.00,0,0.79,-8.03,9.93,0.00080
0.00080,10.90,-8.76,-0.25,7,0,11189550.00,743700.00,49.50,2244975.00,57.30,58.45,--,--,58.45,58.45,24400,11.30,NIFTY,310.00,57.97,231.30,252.03,306.90,310.00,308775.00,25.50,62700.00,1222725.00,0,0.75,-8.76,10.90,0.00080
0.00090,11.73,-9.25,-0.29,5,0,5769450.00,339000.00,68.20,835950.00,69.00,69.90,--,--,69.90,69.90,24450,11.00,NIFTY,270.60,68.57,181.30,202.03,268.15,272.40,152700.00,-17.10,-31425.00,699825.00,0,0.71,-9.25,11.73,0.00090
0.00100,12.48,-9.71,-0.34,2,0,19405650.00,872475.00,49.30,2643900.00,82.30,84.15,--,--,84.15,84.15,24500,10.90,NIFTY,235.05,83.02,131.30,152.03,233.80,235.90,1447800.00,47.00,462975.00,5930625.00,0,0.66,-9.71,12.48,0.00100
0.00100,13.07,-10.05,-0.39,3,0,8216775.00,121350.00,21.30,689850.00,100.00,100.80,--,--,100.85,100.85,24550,10.80,NIFTY,200.15,98.12,81.30,102.03,200.15,203.30,261975.00,-10.10,-29325.00,2735850.00,0,0.61,-10.05,13.07,0.00100
0.00110,13.46,-10.07,-0.44,1,0,32424825.00,1091700.00,47.20,3406350.00,118.10,119.15,--,--,118.00,118.00,24600,10.50,NIFTY,172.00,119.97,31.30,52.03,171.05,171.35,2803125.00,55.60,1001550.00,25102575.00,0,0.56,-10.07,13.46,0.00110
0.00110,13.62,-10.18,-0.49,1,0,17572500.00,761850.00,113.90,1430550.00,139.80,141.55,--,18.70,141.55,141.55,24650,10.50,NIFTY,141.30,139.27,--,2.03,141.50,143.90,1427250.00,145.10,844950.00,17188350.00,0,0.51,-10.18,13.62,0.00110
0.00110,13.51,-10.05,-0.55,1,0,17222850.00,585525.00,49.70,1764150.00,165.55,167.90,47.97,68.70,120.03,168.00,24700,10.40,NIFTY,119.35,119.35,--,--,119.00,119.20,3539100.00,77.20,1541475.00,27293625.00,0,0.45,-10.05,13.51,0.00110
